Company,Period,Revenue,Net Income,Liabilities,Assets,Equity,ROA (%),ROE (%),Debt to Equity
Volkswagen AG,3/31/2017,19695988685,1329397719,24520605687,58120450678,33599844991,2.287314883,3.956559082,0.729783298
Volkswagen AG,6/30/2017,7201825633,722080990.6,27556950386,53860356064,26303405678,1.340653949,2.745199612,1.047657126
Volkswagen AG,9/30/2017,15706422457,2263166301,11556351337,26096752248,14540400911,8.672214379,15.56467607,0.794775289
Volkswagen AG,12/31/2017,9750496618,516889818.4,21354201295,54861302788,33507101493,0.942175618,1.542627668,0.637303746
Volkswagen AG,3/31/2018,15989256775,1291419013,42659096630,53863933584,11204836955,2.397557934,11.52554935,3.807203693
Volkswagen AG,6/30/2018,6601886883,674015397.4,48397997453,95156833814,46758836361,0.708320538,1.441471709,1.035055643
Volkswagen AG,9/30/2018,11494666314,1658196131,14924498356,62462464157,47537965801,2.654708156,3.488151213,0.313949032
Volkswagen AG,12/31/2018,15132692627,1296423798,22603216585,52612061095,30008844510,2.464119008,4.32013901,0.753218491
Volkswagen AG,3/31/2019,14907937768,1438598483,20854112480,54405171112,33551058632,2.644231152,4.287788646,0.621563472
Volkswagen AG,6/30/2019,8797334817,1311084923,25365853191,40151924792,14786071601,3.265310268,8.867026743,1.715523492
Volkswagen AG,9/30/2019,10142417014,1306294910,21657205056,33344564963,11687359907,3.917564711,11.17698882,1.853045104
Volkswagen AG,12/31/2019,15448794996,1760261975,43856467673,93429721556,49573253883,1.884049257,3.550830008,0.884680029
Volkswagen AG,3/31/2020,15933280023,1743770422,44490184859,59864740520,15374555661,2.912850548,11.34192402,2.89375419
Volkswagen AG,6/30/2020,7895384436,511149178.9,17592686846,61107816340,43515129494,0.836471027,1.174647036,0.404288969
Volkswagen AG,9/30/2020,12436929028,1654939942,49496396884,90362459109,40866062225,1.831446331,4.049668237,1.211185864
Volkswagen AG,12/31/2020,6074909806,875656602.5,42262965768,80569106208,38306140440,1.086839167,2.285943174,1.103294806
Volkswagen AG,3/31/2021,19710269369,1137314233,36066540496,64427162211,28360621715,1.765271344,4.010187943,1.271711913
Volkswagen AG,6/30/2021,12858026662,1124878943,17059669622,65938237159,48878567538,1.705958471,2.301374609,0.349021473
Volkswagen AG,9/30/2021,10294096366,1404729444,27027656894,48359524775,21331867881,2.904762713,6.58512162,1.267008452
Volkswagen AG,12/31/2021,11544833810,1709962819,14660160673,40260511363,25600350690,4.247245654,6.679450762,0.572654682
Volkswagen AG,3/31/2022,17383281301,2467286454,26847350661,44033610784,17186260123,5.603189041,14.35615681,1.562140365
Volkswagen AG,6/30/2022,12314464977,1478784803,25112871815,44050938495,18938066680,3.356988191,7.808530977,1.326052561
Volkswagen AG,9/30/2022,10260879440,889227522,10690275300,28159139854,17468864554,3.157864646,5.090356727,0.611961657
Volkswagen AG,12/31/2022,11168902003,587168043.4,20072750684,67464272122,47391521437,0.870339255,1.238972765,0.423551515
Volkswagen AG,3/31/2023,13460197722,1122578628,37590881745,71858135493,34267253748,1.562215079,3.275951543,1.096991373
Volkswagen AG,6/30/2023,12729418594,1662688493,39022576433,81451183390,42428606957,2.041331291,3.918791148,0.919723254
Volkswagen AG,9/30/2023,11664866018,1677667162,15998323030,33372541902,17374218871,5.027088338,9.65607245,0.92080819
Volkswagen AG,12/31/2023,16782030250,1481049554,32384571623,78417189252,46032617629,1.888679725,3.217391559,0.70351358
Volkswagen AG,3/31/2024,7309084994,1039334580,30910642675,64531416585,33620773909,1.61058696,3.091346389,0.91939117
Volkswagen AG,6/30/2024,13076152982,1526410746,24545656357,68124372355,43578715998,2.240623573,3.502651951,0.563248728
Volkswagen AG,9/30/2024,9752432683,970590418.5,31255665329,70790020629,39534355300,1.371083678,2.455055637,0.790595043
Volkswagen AG,12/31/2024,14186610709,2107123762,14632441063,32642980976,18010539913,6.455059247,11.69939253,0.812437669
Siemens AG,3/31/2017,19833452617,1519697640,16063730954,53272532961,37208802008,2.852685156,4.084242325,0.431718574
Siemens AG,6/30/2017,9065572324,736570414.4,47957169639,95650487131,47693317491,0.770064468,1.544389137,1.005532267
Siemens AG,9/30/2017,5703877749,588622371.4,24982736979,39727077870,14744340891,1.481665411,3.992191823,1.694394966
Siemens AG,12/31/2017,19716237464,1276840007,45009303223,75268101508,30258798286,1.696389282,4.219731382,1.487478214
Siemens AG,3/31/2018,10138254767,1262116952,45296373926,72972094010,27675720085,1.729588508,4.5603762,1.63668276
Siemens AG,6/30/2018,11314535587,1340341283,33163887180,56794362553,23630475373,2.359990011,5.672087683,1.403437157
Siemens AG,9/30/2018,12634974138,741274735,28126694879,40432233302,12305538423,1.833375687,6.023911425,2.285693962
Siemens AG,12/31/2018,9738110535,1128540207,47796930083,86681431720,38884501637,1.301939971,2.902287954,1.229202589
Siemens AG,3/31/2019,11643264079,1453293868,35825693285,75665486452,39839793167,1.920682647,3.647844912,0.899243958
Siemens AG,6/30/2019,6550073893,733627118.4,19919552350,37424903073,17505350723,1.960264578,4.190873579,1.137912211
Siemens AG,9/30/2019,16654538457,1322270205,29781715108,63506323345,33724608237,2.082107947,3.920787444,0.883085577
Siemens AG,12/31/2019,12841952642,1411970100,29126693633,55130546327,26003852694,2.561139322,5.429849634,1.120091472
Siemens AG,3/31/2020,15947068708,835207323,19623471264,54178518349,34555047086,1.541583913,2.41703425,0.567890161
Siemens AG,6/30/2020,7571178877,527700192,14328955584,29444881442,15115925857,1.792162733,3.491021304,0.947937673
Siemens AG,9/30/2020,11686522494,980715243.5,33647832225,72644583109,38996750884,1.350018407,2.514863985,0.862836812
Siemens AG,12/31/2020,17731550761,1893885668,10137976567,39067986912,28930010345,4.847666382,6.546439648,0.350431142
Siemens AG,3/31/2021,18942636889,1771268697,15918566390,49830943520,33912377129,3.554555808,5.223074426,0.469402848
Siemens AG,6/30/2021,6387462404,911547751.1,43580496165,59758020643,16177524478,1.525398166,5.634655366,2.69389153
Siemens AG,9/30/2021,19026792698,2073416725,23713313938,47556455590,23843141652,4.359905925,8.696071832,0.994554924
Siemens AG,12/31/2021,15389996263,923394181.6,21808491986,40095375980,18286883994,2.302994196,5.049488923,1.192575618
Siemens AG,3/31/2022,7786480387,484400549.7,33021752886,60040484961,27018732075,0.806789869,1.792832278,1.22217996
Siemens AG,6/30/2022,17737880122,2592267899,23358323946,38107807520,14749483574,6.802458781,17.57531297,1.58367063
Siemens AG,9/30/2022,12664949131,649372783.1,35555990358,69522102895,33966112537,0.934052274,1.911825448,1.046807765
Siemens AG,12/31/2022,16861000234,918419211.5,32873432607,81487723152,48614290545,1.127064515,1.889195957,0.676209243
Siemens AG,3/31/2023,13888922534,1095226689,47947497289,70943083888,22995586599,1.543810374,4.762769081,2.085073894
Siemens AG,6/30/2023,14327627383,1625286889,41679203694,52235242339,10556038645,3.111475732,15.39675009,3.948375437
Siemens AG,9/30/2023,10185412162,754846740.3,24373958388,59331553465,34957595076,1.272251772,2.159321139,0.69724357
Siemens AG,12/31/2023,8282175431,459390813.5,28551545477,64407150986,35855605509,0.713260572,1.281224531,0.796292381
Siemens AG,3/31/2024,15785741204,1106822544,13225063565,51661794785,38436731220,2.142439202,2.87959592,0.344073576
Siemens AG,6/30/2024,9018099865,963180373.7,36993263217,49531602468,12538339252,1.944577453,7.681881582,2.950411731
Siemens AG,9/30/2024,11691964631,1345578064,24477801438,72482874961,48005073523,1.856408241,2.802991363,0.509900301
Siemens AG,12/31/2024,8451674463,530013312.6,43381572844,83248031989,39866459145,0.636667678,1.329471751,1.088172207
Allianz SE,3/31/2017,9164246774,981041952.6,19407851173,43999960378,24592109205,2.229642809,3.989255027,0.789190183
Allianz SE,6/30/2017,14340884258,1865680236,22448503705,35401436947,12952933241,5.270069233,14.40353472,1.733082637
Allianz SE,9/30/2017,7168009253,373428560.2,15187122059,38651159578,23464037519,0.966150988,1.591493194,0.647251013
Allianz SE,12/31/2017,19458831198,1600107100,48538978480,69583711255,21044732775,2.299542624,7.603361452,2.306466848
Allianz SE,3/31/2018,17610247426,2015329868,40259793264,68504291957,28244498693,2.94190307,7.135300541,1.425403003
Allianz SE,6/30/2018,11661846976,1354192659,23626577882,54731462963,31104885082,2.47424897,4.353633376,0.759577726
Allianz SE,9/30/2018,10545031789,1010594241,33534009371,63852779536,30318770165,1.582694204,3.333229664,1.106047811
Allianz SE,12/31/2018,11358222175,1091045445,25112465464,47584136480,22471671016,2.29287642,4.855203888,1.117516603
Allianz SE,3/31/2019,11744716344,1284599881,31388781794,60735397643,29346615849,2.115076103,4.377335663,1.069587783
Allianz SE,6/30/2019,9612688482,1071424359,26052899280,55802879567,29749980287,1.920016257,3.601428805,0.875728287
Allianz SE,9/30/2019,13700664809,892851810.7,14820437742,51140549989,36320112247,1.74587839,2.458284833,0.408050439
Allianz SE,12/31/2019,15508664175,1417702229,18132341778,46620472331,28488130553,3.040943514,4.976466345,0.636487598
Allianz SE,3/31/2020,9263668849,635671166.8,12187372783,46576570031,34389197248,1.364787416,1.848461778,0.354395385
Allianz SE,6/30/2020,13787621203,1605393739,33743352626,56826390011,23083037385,2.825084858,6.95486349,1.461824632
Allianz SE,9/30/2020,18005946710,2292027552,30114206666,72398006770,42283800104,3.16587107,5.420580804,0.712192532
Allianz SE,12/31/2020,10098889889,1161225924,39497490703,77791788915,38294298213,1.492735853,3.032372908,1.031419625
Allianz SE,3/31/2021,8226780982,522858114.5,39148815906,54906293986,15757478080,0.952273549,3.318158603,2.484459487
Allianz SE,6/30/2021,17019949886,2402780363,10477167725,40916062724,30438894999,5.872462313,7.893783146,0.344203287
Allianz SE,9/30/2021,11073630310,912822455.7,49692687138,70778247625,21085560486,1.289693495,4.329135364,2.356716444
Allianz SE,12/31/2021,9380555380,1350100953,41223028779,68933524997,27710496218,1.95855493,4.872164475,1.487632284
Allianz SE,3/31/2022,16640634818,2400803163,16356578486,32583061956,16226483469,7.368255218,14.79558505,1.00801745
Allianz SE,6/30/2022,8089768870,488084935.3,45657380068,93604660446,47947280377,0.521432302,1.017961668,0.952241289
Allianz SE,9/30/2022,16931011156,2086994153,18754849198,52873275455,34118426257,3.947162597,6.116912125,0.549698543
Allianz SE,12/31/2022,16472180169,2043609431,34718393733,62464433746,27746040013,3.271636847,7.36540937,1.25129185
Allianz SE,3/31/2023,14581130415,1529637744,32236390204,47068791910,14832401705,3.249791809,10.31281228,2.173376291
Allianz SE,6/30/2023,5318114486,431100966,42312531626,58725506361,16412974734,0.734094932,2.626586423,2.577992857
Allianz SE,9/30/2023,19814938566,1836312727,18499451286,30329911272,11830459986,6.054461257,15.52190472,1.563713609
Allianz SE,12/31/2023,13941085692,1722322782,32850325731,66248470463,33398144732,2.599792523,5.156941487,0.983597322
Allianz SE,3/31/2024,18801502624,1006058196,48264388990,86904149774,38639760784,1.157664161,2.603686398,1.249086123
Allianz SE,6/30/2024,13059939771,864826440.5,21561018412,57150274352,35589255939,1.513249849,2.430021133,0.605829424
Allianz SE,9/30/2024,16908879786,1197174003,48008203569,67570965703,19562762134,1.77172842,6.11965731,2.454060589
Allianz SE,12/31/2024,7203400075,631684017.9,23852825717,41830939577,17978113860,1.510088046,3.513627863,1.3267702
BMW AG,3/31/2017,18765462866,1081539894,34543581067,80126669599,45583088532,1.349787655,2.372677959,0.75781572
BMW AG,6/30/2017,10211703797,526461438.3,13575717212,61177654063,47601936851,0.860545319,1.105966423,0.285192539
BMW AG,9/30/2017,14824260103,1856672009,49769403556,87097998229,37328594673,2.13170457,4.973859919,1.333278255
BMW AG,12/31/2017,18808147150,960184349.6,35382107627,67327482638,31945375011,1.42614028,3.005706927,1.107581539
BMW AG,3/31/2018,7335760537,743322627.7,48776154787,95122657900,46346503113,0.781435931,1.603837566,1.052423624
BMW AG,6/30/2018,17315578796,1167741135,16852576890,50991540077,34138963187,2.290068378,3.42055243,0.493646418
BMW AG,9/30/2018,5647276212,430192893.6,49486716701,66912699732,17425983031,0.642916659,2.468686517,2.839823533
BMW AG,12/31/2018,6557505339,618883604.9,33315961378,60538144207,27222182829,1.022303562,2.273453267,1.223853414
BMW AG,3/31/2019,15132523755,1022601951,38023980809,86825852703,48801871894,1.177762059,2.095415424,0.779150048
BMW AG,6/30/2019,13411319092,782523298.9,19531535755,37657712776,18126177021,2.077989451,4.317089577,1.077531999
BMW AG,9/30/2019,8103350227,738019784.6,20380748219,31832927467,11452179248,2.318416317,6.444361101,1.779639296
BMW AG,12/31/2019,8859340166,1144565565,40538252302,78168514026,37630261724,1.464228377,3.041609365,1.077277979
BMW AG,3/31/2020,12864732630,1045458883,40800355871,78928197945,38127842074,1.324569559,2.741982831,1.070093497
BMW AG,6/30/2020,19909637251,2732548048,15058770523,36892503606,21833733082,7.406783982,12.5152581,0.689702053
BMW AG,9/30/2020,9482010377,803442750.4,46174948427,92567055368,46392106941,0.867957555,1.731852256,0.995319063
BMW AG,12/31/2020,6940311223,962499322.1,29150494667,41331347093,12180852427,2.328739298,7.901740276,2.393140779
BMW AG,3/31/2021,8417325544,742678238,36333752143,50307101979,13973349836,1.47628905,5.314962029,2.600217741
BMW AG,6/30/2021,12011483364,1571388192,16704351188,36319540470,19615189283,4.326564081,8.011078402,0.851602855
BMW AG,9/30/2021,14132310152,1250503703,34109472155,60179867780,26070395624,2.077943587,4.796642602,1.308360358
BMW AG,12/31/2021,18321682480,1436804767,33230894855,73659285546,40428390691,1.950609154,3.55394994,0.821969272
BMW AG,3/31/2022,11652663475,1123917078,30713910663,55316480279,24602569617,2.031794272,4.568291423,1.248402551
BMW AG,6/30/2022,11584036388,1399147461,22546412228,53277235987,30730823758,2.626163755,4.55291232,0.73367419
BMW AG,9/30/2022,18782382394,1614997271,25317192992,38617124033,13299931041,4.18207547,12.14289959,1.903558215
BMW AG,12/31/2022,7382434260,1093800017,35338248318,45898916976,10560668658,2.383062802,10.35729888,3.346213148
BMW AG,3/31/2023,19456335114,2009563555,47081333393,64537094762,17455761369,3.113811618,11.51232256,2.697180169
BMW AG,6/30/2023,14368618381,1533626886,42361743521,64353154119,21991410599,2.383141754,6.973754044,1.926285871
BMW AG,9/30/2023,12729885504,1804875257,10865997336,56007965536,45141968200,3.222533152,3.998220124,0.240707213
BMW AG,12/31/2023,8469619625,602960048.5,32716601950,78863289364,46146687414,0.764563656,1.306616103,0.708969674
BMW AG,3/31/2024,15848632086,2129654605,38842203399,87315704066,48473500667,2.439028154,4.393440901,0.80130799
BMW AG,6/30/2024,17928146832,2182113657,12109060417,56333682316,44224621899,3.873550543,4.934160121,0.273808116
BMW AG,9/30/2024,17989542164,2639441820,33643521649,69399402463,35755880815,3.803263035,7.381839743,0.940922748
BMW AG,12/31/2024,6152045684,707968936.5,29243056689,57427208762,28184152074,1.232810982,2.511939811,1.037570923
BASF SE,3/31/2017,16836243798,2100216671,19360624506,64506392372,45145767866,3.255827204,4.652078745,0.428846942
BASF SE,6/30/2017,16139422505,1276985447,16542748372,53339154988,36796406616,2.394086384,3.470408021,0.449575105
BASF SE,9/30/2017,9548006554,1237046329,27483087953,52090363015,24607275062,2.374808425,5.027156913,1.116868401
BASF SE,12/31/2017,16895580815,1797081911,28309420014,68036567115,39727147101,2.641347127,4.523561449,0.71259635
BASF SE,3/31/2018,16240083291,1330285061,20620789244,35863861269,15243072025,3.709263346,8.72714541,1.352797468
BASF SE,6/30/2018,11432373323,902833070.5,15796422658,55141147698,39344725041,1.637312802,2.294673732,0.401487687
BASF SE,9/30/2018,19846387618,2884007106,11017913220,31498369926,20480456706,9.156051924,14.08175192,0.537972047
BASF SE,12/31/2018,10270182691,708863277.1,42708053991,57050114588,14342060597,1.24252735,4.942548334,2.977818543
BASF SE,3/31/2019,13827496449,1133835190,46117811894,82240340578,36122528684,1.378684939,3.138858853,1.27670497
BASF SE,6/30/2019,11534207296,1513985001,19270767207,53405386175,34134618968,2.834891963,4.435335874,0.564551994
BASF SE,9/30/2019,7430177132,551583106,33765326378,50383426520,16618100141,1.094770928,3.319170671,2.031840348
BASF SE,12/31/2019,17877114298,1224635136,31860731568,65500282723,33639551155,1.869663892,3.640462175,0.947121185
BASF SE,3/31/2020,9927936838,1197785480,37635556954,86394249061,48758692107,1.38641807,2.456557854,0.7718738
BASF SE,6/30/2020,11914158554,1054111676,43298236595,83113769380,39815532785,1.268275622,2.647488561,1.087470983
BASF SE,9/30/2020,18130200876,2418330284,49603599758,91937242355,42333642596,2.630414207,5.712549489,1.171730017
BASF SE,12/31/2020,11583572658,1407524593,37122614462,82673694404,45551079942,1.702505982,3.089991707,0.814966725
BASF SE,3/31/2021,6644620233,990744714.5,21424039042,52878014917,31453975875,1.873642035,3.14982347,0.681123402
BASF SE,6/30/2021,18768998808,1373518726,31667361119,58519002305,26851641187,2.347132848,5.115213316,1.17934546
BASF SE,9/30/2021,10808670566,658653438.1,37937729306,85517814001,47580084695,0.770194428,1.384304888,0.79734472
BASF SE,12/31/2021,18793891125,2702710428,12423193661,54396450621,41973256961,4.968541876,6.439124871,0.295978787
BASF SE,3/31/2022,7020216669,504888024.6,19566830326,62928514411,43361684085,0.802319949,1.164364427,0.451247011
BASF SE,6/30/2022,11227593925,1221025867,27001572213,45570891422,18569319208,2.679398689,6.575501522,1.454095969
BASF SE,9/30/2022,8861717408,569761713.3,46662383110,69619249891,22956866781,0.8183968,2.481879251,2.032611138
BASF SE,12/31/2022,13018762765,1704211990,11167034881,30031637051,18864602170,5.67472225,9.033914282,0.591957083
BASF SE,3/31/2023,9496852852,691692392.2,36704020555,77712763784,41008743229,0.890062788,1.686694928,0.895029149
BASF SE,6/30/2023,14800185962,1295428284,11911955269,57692706612,45780751343,2.245393499,2.829635264,0.260195714
BASF SE,9/30/2023,8416753062,980336277,46036015495,95477772055,49441756560,1.026769117,1.982810372,0.931116099
BASF SE,12/31/2023,12852011317,684110085.9,18179739764,53040583203,34860843439,1.289786131,1.962402565,0.521494547
BASF SE,3/31/2024,19756965859,1431835601,10848294146,60234434421,49386140275,2.377104749,2.899266055,0.219662725
BASF SE,6/30/2024,11122911230,1144594204,29846781652,60313552592,30466770941,1.897739653,3.756860897,0.979650312
BASF SE,9/30/2024,16485330446,1727330520,41199120058,58775396940,17576276882,2.938866617,9.827624651,2.344018607
BASF SE,12/31/2024,15113132584,1914494156,43259483243,88221659272,44962176029,2.170095385,4.258010455,0.962130552
Deutsche Telekom AG,3/31/2017,13951553720,1348710564,21828517855,62780698314,40952180459,2.148288567,3.293379129,0.533024557
Deutsche Telekom AG,6/30/2017,15409119271,924345905.8,44651352138,77649206644,32997854506,1.190412556,2.801230321,1.353159252
Deutsche Telekom AG,9/30/2017,14110556301,1163491999,16591763093,32355610354,15763847262,3.595951325,7.380761688,1.052519909
Deutsche Telekom AG,12/31/2017,11505351408,1425682028,36680109736,61941763399,25261653663,2.301649081,5.643660732,1.452007467
Deutsche Telekom AG,3/31/2018,17427808963,1967928248,36127253691,72733202053,36605948363,2.705680752,5.375979415,0.986923036
Deutsche Telekom AG,6/30/2018,10561657912,1025524147,18824834094,53785357297,34960523204,1.906697655,2.933377572,0.538459736
Deutsche Telekom AG,9/30/2018,10796012246,986280250.6,18030445293,66154405096,48123959803,1.490876154,2.049457806,0.374666702
Deutsche Telekom AG,12/31/2018,15273880507,1698666925,35514608139,56589637247,21075029108,3.001727892,8.060092903,1.685151084
Deutsche Telekom AG,3/31/2019,17933328881,1112803764,47538352610,96220600130,48682247520,1.156513016,2.285851252,0.976502833
Deutsche Telekom AG,6/30/2019,9246129285,1035650167,29184989731,52641709425,23456719694,1.967356642,4.415153442,1.24420593
Deutsche Telekom AG,9/30/2019,11461718687,1380378045,27344331892,73302995160,45958663267,1.883112746,3.003520875,0.594976658
Deutsche Telekom AG,12/31/2019,15796654133,805016265.8,11494162751,47776069193,36281906442,1.684978022,2.218781604,0.31680151
Deutsche Telekom AG,3/31/2020,17673360637,1501884164,32122639453,73938353262,41815713810,2.031265369,3.591674104,0.768195411
Deutsche Telekom AG,6/30/2020,16609605942,2209253956,40969123319,78858492215,37889368896,2.801542223,5.830801675,1.081282811
Deutsche Telekom AG,9/30/2020,15589999588,1310559971,40139408421,54633825763,14494417343,2.39880688,9.041825831,2.769301274
Deutsche Telekom AG,12/31/2020,19614896783,1231038198,45625478678,94598230353,48972751675,1.301333221,2.513720704,0.931650298
Deutsche Telekom AG,3/31/2021,6356573780,831921707.3,22622163266,70081083207,47458919941,1.187084544,1.752930131,0.476668312
Deutsche Telekom AG,6/30/2021,5509568002,378951538.1,36585800973,54397521144,17811720171,0.696633836,2.127540375,2.054029629
Deutsche Telekom AG,9/30/2021,14468035363,1480956904,34748500389,83063430789,48314930400,1.78292287,3.065215849,0.71920833
Deutsche Telekom AG,12/31/2021,18588737724,2116759905,15557689149,64787149652,49229460503,3.267252713,4.29978286,0.316023962
Deutsche Telekom AG,3/31/2022,6523953565,440649540.1,18792941935,60677034815,41884092879,0.726221282,1.052068959,0.448689243
Deutsche Telekom AG,6/30/2022,8444063288,1187007039,47810647914,69756044623,21945396709,1.701654739,5.408911286,2.17861853
Deutsche Telekom AG,9/30/2022,14873007184,1613587509,33957807568,82298368793,48340561225,1.960655518,3.337957748,0.70247028
Deutsche Telekom AG,12/31/2022,9420241101,990420474.4,12931047199,34081834188,21150786988,2.906006963,4.682664881,0.611374282
Deutsche Telekom AG,3/31/2023,10942719196,1439735669,35021279445,51489159430,16467879985,2.79619183,8.742689833,2.126641649
Deutsche Telekom AG,6/30/2023,10399408221,561732001.5,38426371195,68448568389,30022197194,0.820662893,1.871055599,1.27993201
Deutsche Telekom AG,9/30/2023,5149849693,750613275.1,17312068995,55772071679,38460002684,1.345858693,1.951672446,0.450131768
Deutsche Telekom AG,12/31/2023,12752580163,884167446.6,28470052842,53978751141,25508698298,1.637991669,3.466140986,1.116091951
Deutsche Telekom AG,3/31/2024,16377852382,1007117429,43228375752,78855235024,35626859272,1.277172567,2.826848759,1.213364766
Deutsche Telekom AG,6/30/2024,15923641671,1238976660,29108930053,40292182768,11183252715,3.074980245,11.07885775,2.602903716
Deutsche Telekom AG,9/30/2024,6531276814,872767531.7,15526905086,49404344791,33877439705,1.766580521,2.576249974,0.458325813
